1605.T	Inpex Corporation
1721.T	COMSYS Holdings Corporation
1801.T	Taisei Corporation
1802.T	Obayashi Corporation
1803.T	Shimizu Corporation
1925.T	Daiwa House Industry Co., Ltd.
1928.T	Sekisui House, Ltd.
1963.T	JGC Holdings Corporation
2002.T	Nisshin Seifun Group Inc.
2269.T	Meiji Holdings Co., Ltd.
2413.T	M3, Inc.
2432.T	DeNA Co., Ltd.
2501.T	Sapporo Breweries Limited
2502.T	Asahi Group Holdings, Ltd.
2503.T	Kirin Holdings Company, Limited
2801.T	Kikkoman Corporation
2802.T	Ajinomoto Co., Inc.
2914.T	Japan Tobacco Inc.
3086.T	J. Front Retailing Co., Ltd.
3382.T	Seven & i Holdings Co., Ltd.
3402.T	Toray Industries, Inc.
3407.T	Asahi Kasei Corporation
3436.T	Sumco Corporation
3659.T	NEXON Co., Ltd.
3861.T	Oji Holdings Corporation
4004.T	Resonac Holdings Corporation
4005.T	Sumitomo Chemical Company, Limited
4021.T	Nissan Chemical Corporation
4042.T	Tosoh Corporation
4043.T	Tokuyama Corporation
4061.T	Denka Company Limited
4063.T	Shin-Etsu Chemical Co., Ltd.
4151.T	Kyowa Kirin Co., Ltd.
4183.T	Mitsui Chemicals, Inc.
4188.T	Mitsubishi Chemical Group Corporation
4324.T	Dentsu Group Inc.
4452.T	Kao Corporation
4502.T	Takeda Pharmaceutical Company Limited
4503.T	Astellas Pharma Inc.
4506.T	Sumitomo Pharma Co., Ltd.
4507.T	Shionogi & Co., Ltd.
4519.T	Chugai Pharmaceutical Co., Ltd.
4523.T	Eisai Co., Ltd.
4528.T	Ono Pharmaceutical Co., Ltd.
4543.T	Terumo Corporation
4568.T	Daiichi Sankyo Company, Limited
4578.T	Otsuka Holdings Co., Ltd.
4661.T	Oriental Land Co., Ltd.
4689.T	LY Corporation
4704.T	Trend Micro Incorporated
4751.T	CyberAgent, Inc.
4755.T	Rakuten Group, Inc.
4901.T	FUJIFILM Holdings Corporation
4902.T	Konica Minolta, Inc.
4911.T	Shiseido Company, Limited
5019.T	Idemitsu Kosan Co.,Ltd.
5020.T	ENEOS Holdings, Inc.
5101.T	The Yokohama Rubber Company, Limited
5108.T	Bridgestone Corporation
5201.T	AGC Inc.
5202.T	Nippon Sheet Glass Company, Limited
5301.T	Tokai Carbon Co., Ltd.
5332.T	TOTO LTD.
5333.T	NGK Corporation
5401.T	Nippon Steel Corporation
5406.T	Kobe Steel, Ltd.
5411.T	JFE Holdings, Inc.
5631.T	The Japan Steel Works, Ltd.
5706.T	Mitsui Kinzoku Company, Limited
